iter	Logloss
0	0.655881997
1	0.6238843753
2	0.5946380199
3	0.5685297452
4	0.544157754
5	0.5237316336
6	0.5061912773
7	0.4902580109
8	0.4749214804
9	0.4616826628
10	0.4499116388
11	0.4396841314
12	0.43098426
13	0.4230005512
14	0.4159721843
15	0.4092043389
16	0.4032577599
17	0.3981163082
18	0.3937201961
19	0.3895173366
20	0.3860150236
21	0.3822713051
22	0.3791062486
23	0.3761680691
24	0.3735618777
25	0.3711965386
26	0.3689167509
27	0.3670711755
28	0.365358878
29	0.3638696891
30	0.3622626408
31	0.3608149938
32	0.3594934704
33	0.3582519918
34	0.3573365542
35	0.3562934989
36	0.3553505755
37	0.3545073358
38	0.3536494369
39	0.3527560257
40	0.3519510367
41	0.351162332
42	0.3503901651
43	0.349833193
44	0.349186087
45	0.3486365286
46	0.3480186282
47	0.3475135424
48	0.3469442738
49	0.3465421847
50	0.3461188627
51	0.3457161712
52	0.3453347974
53	0.344965178
54	0.3446114712
55	0.3442521249
56	0.3439710898
57	0.3436432515
58	0.3432616086
59	0.3429809085
60	0.3426410587
61	0.3423687712
62	0.3421708324
63	0.3418937835
64	0.3416520873
65	0.3414198428
66	0.3411726972
67	0.3409341694
68	0.3407306038
69	0.3405617897
70	0.3403305042
71	0.3401270938
72	0.3399955177
73	0.3398137989
74	0.3396184484
75	0.339435549
76	0.3392646101
77	0.3390644754
78	0.3388996143
79	0.3386586249
80	0.3385393033
81	0.3383494313
82	0.3381932971
83	0.3380572303
84	0.3379225361
85	0.3377615967
86	0.3375948822
87	0.3374788199
88	0.3373405207
89	0.3371909557
90	0.3370297855
91	0.3369118225
92	0.3367859709
93	0.3366416678
94	0.3365314285
95	0.3364153991
96	0.3363136035
97	0.3362077315
98	0.3360585577
99	0.3359079594
100	0.3357835609
101	0.3356746356
102	0.3355673833
103	0.3354300547
104	0.3353115688
105	0.3351994907
106	0.335109185
107	0.3349751851
108	0.3348781391
109	0.3347693812
110	0.334674127
111	0.3346573172
112	0.3345095625
